Exp_Group,Animal_ID,d4_total,d4_stable,d4_elim,d4_form,d8_total,d8_stable,d8_elim,d8_form,dT_total,dT_stable,dT_elim,dT_form,d4_nfs_pers,d4_nfs_lost,d4_elim_return
WT1,gf040,118,111,7,6,,,,,,,,,,,
WT1,w134,133,123,10,2,125,119,6,7,133,120,13,6,0,2,2
WT1,w039,121,110,11,6,116,111,5,8,121,113,8,6,4,2,6
WT1,w040,132,121,11,6,127,116,11,6,132,116,16,6,2,4,2
WT1,w129,149,135,14,8,143,130,13,10,149,130,19,9,3,5,3
WT1,w119F,124,116,8,8,124,117,7,2,124,113,11,6,3,5,0
WT1,w126,136,122,14,6,128,115,13,3,136,112,24,6,3,3,1
E2,w102,132,119,13,12,131,121,10,6,132,117,15,11,8,4,3
E2,w103,144,132,12,8,141,131,10,1,144,126,18,5,5,3,0
E2,w104,148,141,7,6,147,140,7,5,148,135,13,10,5,1,1
E2,w105,165,156,9,11,167,158,9,8,165,153,12,13,7,4,2
E2,w107,147,138,9,7,145,136,9,9,147,132,15,13,6,1,2
E2,w108,153,143,9,10,153,143,10,9,151,139,12,13,6,4,2
E2,w106,150,141,9,12,153,144,9,6,150,139,11,11,6,6,1
E2,w114,133,126,7,9,135,127,8,7,133,121,12,13,7,2,1
E2,w110,153,143,10,10,153,144,9,14,153,140,13,18,7,3,3
WT2,w041,130,118,9,9,127,116,11,3,127,115,12,4,3,5,2
WT2,w131,149,138,11,8,147,138,10,10,149,137,12,9,4,4,5
WT2,w127,154,144,10,4,148,140,8,11,154,140,14,11,1,3,2
WT2,w133,151,139,12,11,150,141,9,7,151,140,11,8,4,7,3
WT2,w042,132,117,13,8,125,116,9,6,130,115,15,7,3,5,2
WT2,w128,160,146,14,2,148,139,9,9,160,141,19,7,1,1,3
WT2,w130,127,119,8,9,127,116,11,7,127,114,13,9,4,5,1
PPT,w126,145,131,14,8,139,126,13,7,145,125,20,8,3,5,1
PPT,w128,179,168,11,7,176,162,14,8,179,163,16,8,3,4,4
PPT,w129,194,182,12,10,192,179,13,8,194,176,18,11,5,5,2
PPT,w133,171,165,6,4,169,161,8,8,171,162,9,7,2,2,3
PPT,w136,150,142,8,9,152,142,10,7,150,137,13,11,4,5,0
PPT,w134,144,138,6,9,,,,,,,,,,,
PPT,w130,186,174,12,8,,,,,,,,,,,
PPT,w135,131,123,8,5,125,115,10,7,131,115,16,7,1,4,1
DPN,w111,136,123,13,17,140,126,14,15,136,122,14,19,6,11,3
DPN,w115,157,148,9,18,,,,,,,,,,,
DPN,w116,146,138,8,17,155,140,15,10,147,137,10,15,8,9,5
DPN,w117,152,142,10,10,154,138,14,10,152,135,17,13,5,5,1
DPN,w118,154,148,6,11,158,151,7,16,154,146,8,21,7,4,1
DPN,w141,148,139,9,8,148,139,9,7,148,138,10,10,6,2,2
DPN,w144,126,115,11,17,129,123,6,13,126,116,10,16,9,8,2
DPN,w146,139,128,11,13,140,132,8,11,139,132,7,11,6,7,6
DPN,w147,131,125,6,8,133,122,11,9,131,119,12,12,4,4,1
